"subject" "activity" "timebodyaccelerationmeany" "timebodyaccelerationmeanz" "timebodyaccelerationstandarddeviationx" "timebodyaccelerationstandarddeviationy" "timebodyaccelerationstandarddeviationz" "timegravityaccelerationmeanx" "timegravityaccelerationmeany" "timegravityaccelerationmeanz" "timegravityaccelerationstandarddeviationx" "timegravityaccelerationstandarddeviationy" "timegravityaccelerationstandarddeviationz" "timebodyaccelerationjerkmeanx" "timebodyaccelerationjerkmeany" "timebodyaccelerationjerkmeanz" "timebodyaccelerationjerkstandarddeviationx" "timebodyaccelerationjerkstandarddeviationy" "timebodyaccelerationjerkstandarddeviationz" "timebodygyroscopemeanx" "timebodygyroscopemeany" "timebodygyroscopemeanz" "timebodygyroscopestandarddeviationx" "timebodygyroscopestandarddeviationy" "timebodygyroscopestandarddeviationz" "timebodygyroscopejerkmeanx" "timebodygyroscopejerkmeany" "timebodygyroscopejerkmeanz" "timebodygyroscopejerkstandarddeviationx" "timebodygyroscopejerkstandarddeviationy" "timebodygyroscopejerkstandarddeviationz" "timebodyaccelerationmagnitudemean" "timebodyaccelerationmagnitudestandarddeviation" "timegravityaccelerationmagnitudemean" "timegravityaccelerationmagnitudestandarddeviation" "timebodyaccelerationjerkmagnitudemean" "timebodyaccelerationjerkmagnitudestandarddeviation" "timebodygyroscopemagnitudemean" "timebodygyroscopemagnitudestandarddeviation" "timebodygyroscopejerkmagnitudemean" "timebodygyroscopejerkmagnitudestandarddeviation" "frequencydomainsignalbodyaccelerationmeanx" "frequencydomainsignalbodyaccelerationmeany" "frequencydomainsignalbodyaccelerationmeanz" "frequencydomainsignalbodyaccelerationstandarddeviationx" "frequencydomainsignalbodyaccelerationstandarddeviationy" "frequencydomainsignalbodyaccelerationstandarddeviationz" "frequencydomainsignalbodyaccelerationmeanfreqx" "frequencydomainsignalbodyaccelerationmeanfreqy" "frequencydomainsignalbodyaccelerationmeanfreqz" "frequencydomainsignalbodyaccelerationjerkmeanx" "frequencydomainsignalbodyaccelerationjerkmeany" "frequencydomainsignalbodyaccelerationjerkmeanz" "frequencydomainsignalbodyaccelerationjerkstandarddeviationx" "frequencydomainsignalbodyaccelerationjerkstandarddeviationy" "frequencydomainsignalbodyaccelerationjerkstandarddeviationz" "frequencydomainsignalbodyaccelerationjerkmeanfreqx" "frequencydomainsignalbodyaccelerationjerkmeanfreqy" "frequencydomainsignalbodyaccelerationjerkmeanfreqz" "frequencydomainsignalbodygyroscopemeanx" "frequencydomainsignalbodygyroscopemeany" "frequencydomainsignalbodygyroscopemeanz" "frequencydomainsignalbodygyroscopestandarddeviationx" "frequencydomainsignalbodygyroscopestandarddeviationy" "frequencydomainsignalbodygyroscopestandarddeviationz" "frequencydomainsignalbodygyroscopemeanfreqx" "frequencydomainsignalbodygyroscopemeanfreqy" "frequencydomainsignalbodygyroscopemeanfreqz" "frequencydomainsignalbodyaccelerationmagnitudemean" "frequencydomainsignalbodyaccelerationmagnitudestandarddeviation" "frequencydomainsignalbodyaccelerationmagnitudemeanfreq" "frequencydomainsignalbodybodyaccelerationjerkmagnitudemean" "frequencydomainsignalbodybodyaccelerationjerkmagnitudestandarddeviation" "frequencydomainsignalbodybodyaccelerationjerkmagnitudemeanfreq" "frequencydomainsignalbodybodygyroscopemagnitudemean" "frequencydomainsignalbodybodygyroscopemagnitudestandarddeviation" "frequencydomainsignalbodybodygyroscopemagnitudemeanfreq" "frequencydomainsignalbodybodygyroscopejerkmagnitudemean" "frequencydomainsignalbodybodygyroscopejerkmagnitudestandarddeviation" "frequencydomainsignalbodybodygyroscopejerkmagnitudemeanfreq"
1 "WALKING" 0.265696920582133 -0.0182981725176081 -0.10784573454611 -0.545795331328326 -0.367716218227378 0.196151041060519 0.744867411573487 -0.0825562579855908 0.072339870389049 -0.959859435936599 -0.951150627458213 0.146578594036311 0.0770930495126801 0.0165908438802305 -0.00910758730117003 -0.524721922818732 -0.470412403511239 0.208920598589625 -0.0208764064320173 -0.0880722729400576 0.0862641666597983 -0.686555715201729 -0.450979810499568 -0.10499394311268 -0.0971120197265994 -0.0417164808293948 -0.0471393985477522 -0.637812687210375 -0.634472244550432 -0.140014582478069 -0.453632943768818 -0.0491918153835735 -0.453632943768818 -0.0491918153835735 -0.545431612066571 0.0359250982402594 -0.475404785802305 -0.117131960956974 -0.639517432642651 -0.128115556073487 -0.531895161258213 -0.406435448904438 -0.596411165253602 -0.553060616663401 -0.390150939647061 -0.902904010596542 -0.180558714010749 0.0576291646962536 -0.946905131729107 -0.547348892435764 -0.507343617969859 -0.695305113832853 -0.543979776127867 -0.466251676533372 -0.300634005763689 -0.0488005965884726 -0.21527915818415 -0.950222492449568 -0.623219182311527 -0.505309434070029 -0.553529065425648 -0.708263420861671 -0.429825832648703 -0.814369472556196 -0.0320324102759078 -0.0901517235974063 -0.956784694409222 -0.478448523354179 -0.738249031040346 -0.688715625787608 -0.499075765624092 -0.870820179994236 -0.637882103117867 -0.535002770337752 -0.874381142853026 -0.506323319276945 -0.645970655298847 -0.885549607172911
2 "WALKING" 0.273113115788079 -0.0191323183174834 -0.115649958175497 -0.605586497159271 -0.428962986589404 0.194535818751225 0.660782866688742 -0.147219886910411 0.134865335090728 -0.963015508245033 -0.960033560165563 0.0691912329423841 0.0785353156747351 0.00708771249764901 0.000755760748377483 -0.557809603123841 -0.491875889831788 0.155085641165397 -0.0517030657821192 -0.0568420186817881 0.0872599422291391 -0.710648927815894 -0.722943674337748 -0.169148962615563 -0.0875587491668874 -0.0433986835453642 -0.0557541828188742 -0.671679103311258 -0.783595466728477 -0.239284362336755 -0.535281800541722 -0.0570892316399371 -0.535281800541722 -0.0570892316399371 -0.58777744543543 0.0688931637195364 -0.614771054893146 -0.0766789491913907 -0.746559539039735 -0.00727562749645695 -0.57377091142947 -0.432566581302351 -0.630081222124834 -0.619788102803311 -0.464723862913245 -0.845899133288079 -0.106763418901788 0.105734176023146 -0.961691047019868 -0.561682049622185 -0.50890379901457 -0.715745330403973 -0.595105612895033 -0.509147543673841 -0.283311258278146 0.0868000536209801 -0.139776595362185 -0.962758089536424 -0.638717694593046 -0.722068978635762 -0.601594889654305 -0.734588540182119 -0.72716774102649 -0.840374514533113 -0.00576500648245033 -0.0702155008665563 -0.923628837119205 -0.514569861316887 -0.729390271582781 -0.685566062996689 -0.509746432970861 -0.869862291854305 -0.593132222930066 -0.699742945221854 -0.852266938543046 -0.605982196850993 -0.751615078360927 -0.908230840198676
3 "WALKING" 0.273428719636364 -0.017856067384956 -0.106492632429097 -0.623413602046921 -0.480015920697654 0.156544326025806 0.707814353343108 -0.0260590480328739 0.0480937904190616 -0.966457565630499 -0.9445645371261 0.0152071986105572 0.0701731261988856 0.0144664329060411 -0.000526818872875366 -0.635484688041056 -0.55721186773783 0.0852182319044868 -0.0248490682828446 -0.0743565308442815 0.0866875497119062 -0.699262195705865 -0.76302218170088 -0.130032880846334 -0.0991554609633431 -0.0401923943695015 -0.0521178264170088 -0.689328428607038 -0.842659862111437 -0.107025768144897 -0.563140802770059 -0.0629949821747801 -0.563140802770059 -0.0629949821747801 -0.650182434328446 0.00407820575718475 -0.643150121648094 -0.0535119465671848 -0.784056656246334 -0.121169067362152 -0.625733289873607 -0.501779938505279 -0.699656828592375 -0.623805015199413 -0.502753639795894 -0.878637490516129 -0.192817340495308 0.0389282523284457 -0.979676490821114 -0.645893496630499 -0.582949919157742 -0.780101644193548 -0.657844055881525 -0.559851186088408 -0.341466275659824 -0.0476941200470968 -0.236874240885924 -0.980556463255132 -0.642097719778592 -0.775144985073314 -0.670734708996481 -0.719276622702346 -0.758505287214076 -0.80139548982698 -0.102568067670674 -0.167675025582991 -0.976900586774194 -0.579076453758064 -0.708767317131965 -0.672093167772434 -0.604752108072727 -0.885583948398827 -0.561776583640469 -0.716822144279179 -0.90570719686217 -0.577542913560537 -0.810085498651026 -0.927849926480938
4 "WALKING" 0.277034464752577 -0.0133496817746907 -0.105916135927835 -0.68386446609433 -0.589609330539691 0.0766007644994845 0.731456509896907 0.072347989306416 0.193993433768041 -0.967576704329897 -0.94170652321134 0.096225694371134 0.0780162237953608 -0.0010311298138299 -0.00737070069603093 -0.701066737438144 -0.670976701376289 0.194739328559216 -0.0298726752979381 -0.0750086556675258 0.0956607416628866 -0.750915960835052 -0.828888294742268 -0.0466266655935567 -0.10509869233866 -0.0410624426912371 -0.060866534304433 -0.778479585721649 -0.911436316752577 -0.102659644657216 -0.637532979814948 -0.057991992659433 -0.637532979814948 -0.057991992659433 -0.72234055742268 0.0110344931363402 -0.708221087886598 0.0640489321876804 -0.849581355824742 -0.140919850371134 -0.698994344226804 -0.610966605674742 -0.784964119020619 -0.679316495457474 -0.60587907902268 -0.915146707886598 -0.15574790130299 0.0520271215242268 -0.985342698092784 -0.717973724971649 -0.684648403917526 -0.845383895412371 -0.710952957814433 -0.679116699128866 -0.25360824742268 0.0388340995747423 -0.174386827172165 -0.986293425103093 -0.708097003278351 -0.851859241237113 -0.723913683350515 -0.765931837365979 -0.818105282886598 -0.880554567938144 -0.145349222123196 -0.357592715106186 -0.958668945051546 -0.668273665958763 -0.789193032010309 -0.55304384095 -0.702045896773196 -0.896252657835052 -0.595373662963917 -0.785172936701031 -0.913031985515464 -0.521855856479381 -0.86760194427835 -0.923089510257732
4 "WALKING_UPSTAIRS" 0.269685855146341 -0.0171085099442602 -0.110053359325203 -0.481157815330894 -0.384255322007236 0.0174483277930894 0.667377493902439 0.176064219895122 0.117030634772358 -0.954845868211382 -0.940959838617886 0.178541951857724 0.080200587601626 0.0106812194621382 -0.00737856315243902 -0.522686832030976 -0.446980128646341 0.00296774295284553 -0.027473566188374 -0.0845813729861789 0.0958069867471545 -0.623295736308943 -0.749889456666667 -0.0749720987715447 -0.112213469653659 -0.0384344734528455 -0.0529863681443902 -0.637528066829268 -0.888412003333333 -0.00145464367357724 -0.441789745892683 -0.0268008992268293 -0.441789745892683 -0.0268008992268293 -0.551665062753089 -0.0300460479170732 -0.574385249590244 0.0482812711268293 -0.771259192195122 -0.140413229717886 -0.518103409715447 -0.391561268041463 -0.708346275365854 -0.468588371045528 -0.422334649479756 -0.885553469837398 -0.229896701265041 0.136415181912195 -0.976937501300813 -0.548003358486179 -0.470861077819187 -0.793248930406504 -0.540002452644715 -0.459377588636585 -0.311219512195122 -0.0626525261543089 -0.190358689715447 -0.978123311544715 -0.537445270313821 -0.799459630325203 -0.634729117447154 -0.652062731170732 -0.727336206422764 -0.813849172926829 -0.0761993841779675 -0.403312438185366 -0.914137661300813 -0.497723469494309 -0.65405102203252 -0.630678330365854 -0.529301794643089 -0.901148533056911 -0.510145255113008 -0.683314955211382 -0.884511152682927 -0.537168488178862 -0.793458132276423 -0.904245707235772
5 "WALKING" 0.279177960301325 -0.0154833455336192 -0.105661736816887 -0.507691011391722 -0.402724906078146 0.183328842972351 0.698153719072848 0.112313109736755 0.0921607197449904 -0.964629108807947 -0.939973777950331 0.119310090465795 0.0841019899622517 0.0017656830384106 -0.0029537113427351 -0.575890535679801 -0.506544358609603 0.17715523763904 -0.0294516873643046 -0.0774316445596026 0.0866267116745033 -0.709955676983444 -0.705638306688742 -0.109456425406623 -0.103522877147351 -0.0490624519374172 -0.0506258160122517 -0.662581310334437 -0.774114270364238 -0.0340190859350993 -0.460866415568709 -0.0632658570116026 -0.460866415568709 -0.0632658570116026 -0.589313870006622 -0.0313219733798013 -0.602770284825828 -0.0977463073887417 -0.707383517582782 0.0532652248103642 -0.55123770513245 -0.440232431795033 -0.696171811490066 -0.492829885748675 -0.422162171100331 -0.911614873907285 -0.226370689942053 0.0748636861897351 -0.977865027350993 -0.604769869438742 -0.550991969857417 -0.768762357980132 -0.584013626983444 -0.491500434303907 -0.285298013245033 -0.10292084499106 -0.27429092242043 -0.979199594966887 -0.632239300829801 -0.71706218781457 -0.537329127293278 -0.73573857718543 -0.702290390960265 -0.629367435225166 -0.0381646986649007 -0.0720666007195695 -0.938884676423841 -0.528503022745033 -0.687143182880795 -0.622500047417219 -0.573176177044172 -0.896037000178808 -0.584574026338079 -0.677355755703311 -0.876040074966887 -0.628709449615894 -0.748829309536424 -0.915589191688742
6 "WALKING" 0.269434151902542 -0.0163911123936864 -0.117900692084746 -0.647669170333475 -0.553142396078856 0.124522713170339 0.670506153601695 0.0612321366461864 0.0584702778558475 -0.95651898940678 -0.952613166822034 0.143868732830508 0.0866435091149576 0.00183060788194915 -0.000810930989618644 -0.667198721502542 -0.627357097410593 0.130303278963898 -0.0342840234147034 -0.0772570116263983 0.104308754638941 -0.767068673052966 -0.761438068516949 -0.153196923779746 -0.0919680285336017 -0.0437656755737288 -0.0571513411507627 -0.739023005 -0.82004406309322 -0.118101492211017 -0.619147950475381 -0.0518573817974576 -0.619147950475381 -0.0518573817974576 -0.701327652220339 -0.0373595322566102 -0.690488145614407 -0.12170859523178 -0.780046966228814 -0.0437865404427966 -0.646620302652542 -0.578355099619068 -0.814738365169491 -0.649772161629703 -0.568609162121059 -0.898305083855932 -0.139166303662712 0.0503880064949576 -0.98982598661017 -0.677779817705085 -0.66059454675 -0.859603672415254 -0.686677797992797 -0.616329704501695 -0.284915254237288 -0.0295118597032627 -0.269652390936441 -0.989743674025424 -0.710060816508475 -0.761625061822034 -0.668113881479237 -0.786180311132627 -0.76410811809322 -0.717708942042373 -0.00638799606635593 -0.0908297418220339 -0.959005904915254 -0.631495453982373 -0.805376972288136 -0.565080332415254 -0.652860664036017 -0.910949689449153 -0.637894242504237 -0.73860950399661 -0.882659713330509 -0.697130590025424 -0.802472022627119 -0.9382566575
6 "WALKING_UPSTAIRS" 0.280179098426966 -0.0206949591117978 -0.110940029325843 -0.127000600558652 0.121465311011236 0.0801557209164045 0.736951892247191 -0.103190808202247 0.0184833048368539 -0.965208976741573 -0.946484614719101 0.258941241561798 0.0674351008988764 -0.00310401228089888 -0.00609868840674157 -0.171553961355056 0.00409088203382023 0.11815088703191 -0.067430938188764 -0.0529948418524719 0.0787625669280899 -0.35344952441573 -0.267781342044944 -0.254311604221348 -0.0589128557764045 -0.0500700364842697 -0.0433103259283146 -0.0342001184382022 -0.300014548011236 -0.431739502123596 -0.0554082692382022 0.024418525541573 -0.0554082692382022 0.024418525541573 -0.153888888820225 -0.0196722372696629 -0.175624994910562 -0.0825205236666966 -0.202676039247191 -0.00271132830449438 -0.133757972988764 0.102003878820225 -0.336322224157303 -0.127245614919101 0.0592301040449438 -0.616248918123596 -0.330407854494382 0.0818782474368539 -0.842473784157303 -0.2089562025 -0.0871500384348315 -0.352981568269663 -0.207095971672 0.0354678201573034 -0.31685393258427 -0.270896174822472 -0.400274190841573 -0.835380862494382 -0.0788327637831461 -0.248795741449438 -0.0819830495561798 -0.445412804202247 -0.28620515505618 -0.294846959539326 0.1225045045 0.0845962063707865 -0.755704214269663 -0.0562800368966292 -0.63425029 -0.683968227977528 -0.0759734389325843 -0.904761901573034 -0.529624282876405 -0.156240715516854 -0.824834341910112 -0.812956214157303 -0.252582563561798 -0.912965932696629
7 "WALKING_UPSTAIRS" 0.270211697814935 -0.0187904887668182 -0.112492375388312 -0.577518324748052 -0.546403365345779 0.282343572058539 0.681289120844156 -0.0420221452496753 0.0342160711928604 -0.956538178587662 -0.955312554090909 0.155881847342857 0.0831829573168831 0.00760909767418831 -0.00791725696048701 -0.615131377408279 -0.622997416262013 0.289222287221753 -0.0518716929407792 -0.0646077113078896 0.0977671721406169 -0.687155474097403 -0.652408657909091 -0.219587057735649 -0.0942037376182662 -0.0414401406082792 -0.0610307928148701 -0.701731200484416 -0.674920114957468 -0.305084110404221 -0.511312036747403 -0.0103608721888961 -0.511312036747403 -0.0103608721888961 -0.622815767680292 0.00120487007954546 -0.581899897967532 0.0139212446199675 -0.713191348337662 0.0803812077321429 -0.593011288564935 -0.563547785174026 -0.531005941495552 -0.572347541484091 -0.567046977262987 -0.836663336136364 -0.311790512382468 -0.0300713296399351 -0.944872327792208 -0.637521940243831 -0.641687333850227 -0.642515716574286 -0.626785744584416 -0.62853163071948 -0.397792207792208 -0.11978430017462 -0.239501714015909 -0.94657277512987 -0.643767578493507 -0.630419275006169 -0.655083354905844 -0.703883646896104 -0.671161922837662 -0.830721003344156 -0.134491772785779 -0.103884514547565 -0.968107074058442 -0.518323878824675 -0.786833855194805 -0.527078652041883 -0.553360009658182 -0.872603585305195 -0.508126871173701 -0.628877272791136 -0.919580419383117 -0.493481546224026 -0.668879188156396 -0.901051327662338
8 "WALKING_UPSTAIRS" 0.270759063295374 -0.0181894974688612 -0.106809623683986 -0.582958863017438 -0.349383732046263 0.0724944851658363 0.647498175409253 0.0303211113118861 0.0836542406807936 -0.954256666035587 -0.94844645047331 0.00877554257366548 0.084215745375516 0.000860301581786477 -0.0196719912994306 -0.575993073911744 -0.458724925167972 0.127423209866459 0.00359053897160142 -0.091077509832669 0.0640867611561922 -0.656219242281851 -0.570941237019217 -0.0633462940836299 -0.104969855200356 -0.0400922240331673 -0.0582887148366548 -0.674984452240214 -0.683086930288968 -0.127257585286904 -0.468522592843416 -0.116670984978648 -0.468522592843416 -0.116670984978648 -0.534248616612028 -0.103568311138292 -0.476214943826192 0.00539242527580071 -0.673625525658363 -0.14778366546427 -0.581831414648399 -0.374944236206406 -0.550979388719929 -0.585343460535587 -0.378656458967972 -0.831097727049822 -0.216022261686477 0.0263297524124555 -0.916322651032028 -0.59163500910605 -0.495906215569395 -0.644285802406762 -0.598546245236655 -0.45636839585694 -0.309893238434164 0.0212336768810676 -0.169061574411388 -0.923104942348754 -0.601382421248399 -0.575938482711388 -0.525562919047438 -0.675275353078292 -0.573087292172598 -0.814701190569395 -0.117102793715658 -0.153879695796192 -0.952248850284698 -0.512106792856939 -0.732482512245552 -0.639560830626335 -0.529244911130605 -0.86759306241637 -0.758706025975089 -0.609984289180071 -0.892873436786477 -0.523995597193594 -0.70215621546726 -0.873241822967972
